link,id_option,nome_option
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59594,29353,PLP 039/20- Requerimento de Votação Artigo por Artigo - PSOL (nominal)
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59594,29346,"PLP 039/20 - DTQ 9 - PT - destaque de preferência para votação da Emenda de Plenário n. 4, em detrimento do texto original do PLP 39/2020 (ou de texto que o substitua). (161, IV) (nominal)"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59594,29334,"PLP39/20 - Votação do PLP 39/20, ressalvados os destaques"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59594,29333,"PLP39/20 - Votação das emendas de Plenário com parecer pela rejeição, ressalvados os destaques (nominal)"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59594,29329,PLP39/20 - Votação do requerimento de urgência 920/20 para o PLP 39/20 (nominal)
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59596,29378,PLP 039/20 - DTQ 15 - PDT - destaque para votação em separado da Emenda nº 69 apresentada ao Projeto de Lei Complementar nº 39/2020. (nominal)
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59596,29377,"PLP 039/20 - DTQ 11 - PT - destaque da Emenda de Plenário n. 11, apresentada ao PLP 39/2020. (161, II) (nominal)"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59596,29376,"PLP 039/20 - DTQ 19 - CIDADANIA destaque para votação da expressão ""III -servidores da Defesa Agropecuária"", constante da Emenda nº 44, de 2020, apresentada ao Projeto de Lei Complementar n° 39, de 2020, que ""Estabelece o Programa Federativo de Enfrentamento ao Coronavírus SARS-CoV-2 (Covid-19), altera a Lei Complementar nº 101, de 4 de maio de 2000, e dá outras providências."" (nominal)"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59596,29375,"PLP39/20 - Votação da emenda de Plenário 115 com parecer pela aprovação, ressalvado os destaques (nominal)"
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59596,29374,"PLP 039/20 - DTQ 14 - BLOCO PP destaque para votação em separado da expressão ""desde que diretamente envolvidos no combate à pandemia do COVID-19"", constante do §6º do artigo 8º ao PLP 39 de 2020, com vistas à sua supressão. (161, I) (nominal)"
